Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
2888,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.18,0.00
2899,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.02,-0.18,0.00
2910,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.21,0.00
2921,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.23,0.00
2936,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.23,0.00
2947,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.22,0.00
2958,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.18,0.00
2969,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.11,0.00
2980,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.18,0.00
2991,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.22,0.00
3003,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.20,0.00
3016,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.23,0.00
3029,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.01,-0.25,0.00
3040,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.04,-0.21,0.00
3053,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.03,-0.21,0.00
3066,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.25,0.00
3118,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.04,-0.25,0.00
3129,359.62,-3.75,4.00,-0.65,-0.68,9.76,-0.02,0.02,-0.27,0.00
3140,359.62,-3.75,4.00,-0.64,-0.69,9.76,0.00,0.02,-0.29,0.00
3151,359.62,-3.75,4.06,-0.64,-0.69,9.76,0.01,0.01,-0.24,0.00
3163,359.62,-3.75,4.06,-0.64,-0.69,9.76,-0.03,0.02,-0.20,0.00
3175,359.62,-3.75,4.06,-0.64,-0.69,9.76,-0.02,0.02,-0.24,0.00
3187,359.62,-3.69,4.06,-0.63,-0.70,9.76,0.05,-0.04,-0.14,0.00
3199,359.62,-3.69,4.12,-0.63,-0.70,9.76,0.05,-0.02,-0.10,0.00
3212,359.62,-3.62,4.12,-0.62,-0.71,9.76,0.06,-0.03,-0.11,0.00
3227,359.62,-3.62,4.12,-0.62,-0.71,9.76,-0.02,-0.01,-0.24,0.00
3239,359.62,-3.56,4.19,-0.61,-0.71,9.76,0.00,-0.02,-0.20,0.00
3254,359.62,-3.56,4.19,-0.61,-0.72,9.76,0.03,-0.03,-0.19,0.00
3267,359.62,-3.50,4.19,-0.60,-0.72,9.76,0.09,-0.02,-0.08,0.00
3279,359.62,-3.44,4.19,-0.59,-0.72,9.76,0.10,-0.04,-0.12,0.00
3291,359.62,-3.44,4.19,-0.59,-0.72,9.76,0.06,-0.02,-0.06,0.00
3304,359.62,-3.44,4.19,-0.59,-0.72,9.76,0.09,-0.13,-0.05,0.00
3316,359.62,-3.38,4.19,-0.58,-0.71,9.76,0.04,-0.07,-0.01,0.00
3329,359.62,-3.38,4.19,-0.58,-0.71,9.76,0.00,-0.09,-0.20,0.00
3340,359.62,-3.38,4.12,-0.58,-0.70,9.76,0.07,-0.05,-0.10,0.00
3351,359.62,-3.38,4.12,-0.57,-0.70,9.76,0.17,-0.11,-0.05,0.00
3363,359.62,-3.38,4.06,-0.57,-0.69,9.76,0.19,-0.14,-0.05,0.00
3374,359.62,-3.38,4.00,-0.57,-0.69,9.76,0.21,-0.15,0.00,0.00
3386,359.62,-3.38,4.00,-0.57,-0.68,9.76,0.12,-0.16,0.08,0.00
3399,359.62,-3.38,3.94,-0.58,-0.66,9.76,0.10,-0.16,0.09,0.00
3411,359.62,-3.44,3.75,-0.58,-0.65,9.76,0.12,-0.17,0.11,0.00
3425,359.62,-3.44,3.69,-0.59,-0.63,9.76,0.15,-0.15,0.08,0.00
3438,359.62,-3.50,3.56,-0.60,-0.60,9.76,0.07,-0.15,-0.02,0.00
3450,359.69,-3.56,3.38,-0.61,-0.58,9.76,0.08,-0.14,-0.15,0.00
3463,359.69,-3.62,3.25,-0.62,-0.56,9.77,0.11,-0.20,-0.18,0.00
3476,359.69,-3.69,3.19,-0.63,-0.54,9.77,0.14,-0.25,-0.14,0.00
3487,359.69,-3.75,3.06,-0.64,-0.52,9.77,0.14,-0.17,-0.10,0.00
3500,359.75,-3.88,2.75,-0.66,-0.47,9.77,0.15,0.02,-0.09,0.00
3512,359.75,-3.94,2.56,-0.68,-0.44,9.77,0.13,0.00,-0.09,0.00
3523,359.75,-4.06,2.44,-0.69,-0.41,9.77,0.06,0.04,-0.17,0.00
3534,359.75,-4.12,2.25,-0.70,-0.39,9.77,0.04,0.07,-0.24,0.00
3547,359.81,-4.19,2.12,-0.72,-0.36,9.77,-0.01,0.19,-0.46,0.00
3559,359.81,-4.38,1.81,-0.74,-0.31,9.77,-0.04,0.27,-0.52,0.00
3572,359.81,-4.44,1.69,-0.76,-0.29,9.77,-0.10,0.31,-0.57,0.00
